"State_name","PC_no","PC_name","PC_type","Sub_Region","DelimID"
"Andaman_&_Nicobar_Islands",1,"Andaman & Nicobar Islands","GEN","",4
"Andhra_Pradesh",1,"Adilabad ","ST","TELENGANA",4
"Andhra_Pradesh",2,"Peddapalle ","SC","TELENGANA",4
"Andhra_Pradesh",3,"Karimnagar ","GEN","TELENGANA",4
"Andhra_Pradesh",4,"Nizamabad","GEN","TELENGANA",4
"Andhra_Pradesh",5,"Zahirabad","GEN","TELENGANA",4
"Andhra_Pradesh",6,"Medak","GEN","TELENGANA",4
"Andhra_Pradesh",7,"Malkajgiri","GEN","TELENGANA",4
"Andhra_Pradesh",8,"Secundrabad","GEN","TELENGANA",4
"Andhra_Pradesh",9,"Hyderabad","GEN","TELENGANA",4
"Andhra_Pradesh",10,"CHELVELLA","GEN","TELENGANA",4
"Andhra_Pradesh",11,"Mahbubnagar","GEN","TELENGANA",4
"Andhra_Pradesh",12,"Nagarkurnool","SC","TELENGANA",4
"Andhra_Pradesh",13,"Nalgonda","GEN","TELENGANA",4
"Andhra_Pradesh",14,"Bhongir ","GEN","TELENGANA",4
"Andhra_Pradesh",15,"Warangal","SC","TELENGANA",4
"Andhra_Pradesh",16,"Mahabubabad  ","ST","TELENGANA",4
"Andhra_Pradesh",17,"Khammam ","GEN","TELENGANA",4
"Andhra_Pradesh",18,"Aruku ","ST","SEEMANDHRA",4
"Andhra_Pradesh",19,"Srikakulam","GEN","SEEMANDHRA",4
"Andhra_Pradesh",20,"Vizianagaram","GEN","SEEMANDHRA",4
"Andhra_Pradesh",21,"Visakhapatnam","GEN","SEEMANDHRA",4
"Andhra_Pradesh",22,"Anakapalli","GEN","SEEMANDHRA",4
"Andhra_Pradesh",23,"Kakinada","GEN","SEEMANDHRA",4
"Andhra_Pradesh",24,"Amalapuram ","SC","SEEMANDHRA",4
"Andhra_Pradesh",25,"Rajahmundry","GEN","SEEMANDHRA",4
"Andhra_Pradesh",26,"Narsapuram","GEN","SEEMANDHRA",4
"Andhra_Pradesh",27,"Eluru ","GEN","SEEMANDHRA",4
"Andhra_Pradesh",28,"Machilipatnam ","GEN","SEEMANDHRA",4
"Andhra_Pradesh",29,"Vijayawada","GEN","SEEMANDHRA",4
"Andhra_Pradesh",30,"Guntur","GEN","SEEMANDHRA",4
"Andhra_Pradesh",31,"Narasaraopet","GEN","SEEMANDHRA",4
"Andhra_Pradesh",32,"Bapatla ","SC","SEEMANDHRA",4
"Andhra_Pradesh",33,"Ongole ","GEN","SEEMANDHRA",4
"Andhra_Pradesh",34,"Nandyal","GEN","SEEMANDHRA",4
"Andhra_Pradesh",35,"Kurnool","GEN","SEEMANDHRA",4
"Andhra_Pradesh",36,"Anantapur","GEN","SEEMANDHRA",4
"Andhra_Pradesh",37,"Hindupur","GEN","SEEMANDHRA",4
"Andhra_Pradesh",38,"Kadapa","GEN","SEEMANDHRA",4
"Andhra_Pradesh",39,"Nellore","GEN","SEEMANDHRA",4
"Andhra_Pradesh",40,"Tirupati ","SC","SEEMANDHRA",4
"Andhra_Pradesh",41,"Rajampet","GEN","SEEMANDHRA",4
"Andhra_Pradesh",42,"Chittoor ","SC","SEEMANDHRA",4
"Arunachal_Pradesh",1,"ARUNACHAL WEST","GEN","",4
"Arunachal_Pradesh",2,"ARUNACHAL EAST","GEN","",4
"Assam",1,"Karimganj ","SC","",4
"Assam",2,"Silchar","GEN","",4
"Assam",3,"Autonomous District","ST","",4
"Assam",4,"Dhubri","GEN","",4
"Assam",5,"Kokrajhar","ST","",4
"Assam",6,"Barpeta","GEN","",4
"Assam",7,"Gauhati","GEN","",4
"Assam",8,"Mangaldoi","GEN","",4
"Assam",9,"Tezpur","GEN","",4
"Assam",10,"Nowgong","GEN","",4
"Assam",11,"Kaliabor","GEN","",4
"Assam",12,"Jorhat","GEN","",4
"Assam",13,"Dibrugarh","GEN","",4
"Assam",14,"Lakhimpur","GEN","",4
"Bihar",1,"Valmiki Nagar","GEN","",4
"Bihar",2,"Paschim Champaran","GEN","",4
"Bihar",3,"Purvi Champaran","GEN","",4
"Bihar",4,"Sheohar","GEN","",4
"Bihar",5,"Sitamarhi","GEN","",4
"Bihar",6,"Madhubani","GEN","",4
"Bihar",7,"Jhanjharpur","GEN","",4
"Bihar",8,"Supaul","GEN","",4
"Bihar",9,"Araria","GEN","",4
"Bihar",10,"Kishanganj","GEN","",4
"Bihar",11,"Katihar","GEN","",4
"Bihar",12,"Purnia","GEN","",4
"Bihar",13,"Madhepura","GEN","",4
"Bihar",14,"Darbhanga","GEN","",4
"Bihar",15,"Muzaffarpur","GEN","",4
"Bihar",16,"Vaishali","GEN","",4
"Bihar",17,"Gopalganj (SC)","SC","",4
"Bihar",18,"Siwan","GEN","",4
"Bihar",19,"Maharajganj","GEN","",4
"Bihar",20,"Saran","GEN","",4
"Bihar",21,"Hajipur (SC)","SC","",4
"Bihar",22,"Ujiarpur","GEN","",4
"Bihar",23,"Samastipur (SC)","SC","",4
"Bihar",24,"Begusarai","GEN","",4
"Bihar",25,"Khagaria","GEN","",4
"Bihar",26,"Bhagalpur","GEN","",4
"Bihar",27,"Banka","GEN","",4
"Bihar",28,"Munger","GEN","",4
"Bihar",29,"Nalanda","GEN","",4
"Bihar",30,"Patna Sahib","GEN","",4
"Bihar",31,"Pataliputra","GEN","",4
"Bihar",32,"Arrah","GEN","",4
"Bihar",33,"Buxar","GEN","",4
"Bihar",34,"Sasaram (SC)","SC","",4
"Bihar",35,"Karakat","GEN","",4
"Bihar",36,"Jahanabad","GEN","",4
"Bihar",37,"Aurangabad","GEN","",4
"Bihar",38,"Gaya (SC)","SC","",4
"Bihar",39,"Nawada","GEN","",4
"Bihar",40,"Jamui (SC)","SC","",4
"Chandigarh",1,"CHANDIGARH","GEN","",4
"Chhattisgarh",1,"SARGUJA","ST","",4
"Chhattisgarh",2,"RAIGARH","ST","",4
"Chhattisgarh",3,"JANJGIR-CHAMPA","SC","",4
"Chhattisgarh",4,"KORBA","GEN","",4
"Chhattisgarh",5,"BILASPUR","GEN","",4
"Chhattisgarh",6,"RAJNANDGAON","GEN","",4
"Chhattisgarh",7,"DURG","GEN","",4
"Chhattisgarh",8,"RAIPUR","GEN","",4
"Chhattisgarh",9,"MAHASAMUND","GEN","",4
"Chhattisgarh",10,"BASTAR","ST","",4
"Chhattisgarh",11,"KANKER","ST","",4
"Dadra_Nagar_&_Haveli",1,"Dadar & Nagar Haveli","ST","",4
"Daman_&_Diu",1,"Daman & diu","GEN","",4
"Delhi",1,"CHANDNI CHOWK                 ","GEN","",4
"Delhi",2,"NORTH EAST DELHI              ","GEN","",4
"Delhi",3,"EAST DELHI                    ","GEN","",4
"Delhi",4,"NEW DELHI                     ","GEN","",4
"Delhi",5,"NORTH WEST DELHI              ","SC","",4
"Delhi",6,"WEST DELHI                    ","GEN","",4
"Delhi",7,"SOUTH DELHI                   ","GEN","",4
"Goa",1,"North Goa","GEN","",4
"Goa",2,"South Goa","GEN","",4
"Gujarat",1,"Kachchh","SC","",4
"Gujarat",2,"Banaskantha","GEN","",4
"Gujarat",3,"Patan","GEN","",4
"Gujarat",4,"Mahesana","GEN","",4
"Gujarat",5,"Sabarkantha","GEN","",4
"Gujarat",6,"Gandhinagar","GEN","",4
"Gujarat",7,"Ahmedabad East","GEN","",4
"Gujarat",8,"Ahmedabad West","SC","",4
"Gujarat",9,"Surendranagar","GEN","",4
"Gujarat",10,"Rajkot","GEN","",4
"Gujarat",11,"Porbandar","GEN","",4
"Gujarat",12,"Jamnagar","GEN","",4
"Gujarat",13,"Junagadh","GEN","",4
"Gujarat",14,"Amreli","GEN","",4
"Gujarat",15,"Bhavnagar","GEN","",4
"Gujarat",16,"Anand","GEN","",4
"Gujarat",17,"Kheda","GEN","",4
"Gujarat",18,"Panchmahal","GEN","",4
"Gujarat",19,"Dahod","ST","",4
"Gujarat",20,"Vadodara","GEN","",4
"Gujarat",21,"Chhota Udaipur","ST","",4
"Gujarat",22,"Bharuch","GEN","",4
"Gujarat",23,"Bardoli","ST","",4
"Gujarat",24,"Surat","GEN","",4
"Gujarat",25,"Navsari","GEN","",4
"Gujarat",26,"Valsad","ST","",4
"Haryana",1,"Ambala","SC","",4
"Haryana",2,"Kurukshetra","GEN","",4
"Haryana",3,"Sirsa","SC","",4
"Haryana",4,"Hisar","GEN","",4
"Haryana",5,"Karnal","GEN","",4
"Haryana",6,"Sonipat","GEN","",4
"Haryana",7,"Rohtak","GEN","",4
"Haryana",8,"Bhiwani-Mahendragarh","GEN","",4
"Haryana",9,"Gurgaon","GEN","",4
"Haryana",10,"Faridabad","GEN","",4
"Himachal_Pradesh",1,"Kangra","GEN","",4
"Himachal_Pradesh",2,"Mandi","GEN","",4
"Himachal_Pradesh",3,"Hamirpur","GEN","",4
"Himachal_Pradesh",4,"Shimla","SC","",4
"Jammu_&_Kashmir",1,"Baramulla","GEN","",4
"Jammu_&_Kashmir",2,"Srinagar","GEN","",4
"Jammu_&_Kashmir",3,"Anantnag","GEN","",4
"Jammu_&_Kashmir",4,"Ladakh","GEN","",4
"Jammu_&_Kashmir",5,"Udhampur","GEN","",4
"Jammu_&_Kashmir",6,"Jammu","GEN","",4
"Jharkhand",1,"Rajmahal","ST","",4
"Jharkhand",2,"Dumka","ST","",4
"Jharkhand",3,"Godda","GEN","",4
"Jharkhand",4,"Chatra","GEN","",4
"Jharkhand",5,"Kodarma","GEN","",4
"Jharkhand",6,"Giridih","GEN","",4
"Jharkhand",7,"Dhanbad","GEN","",4
"Jharkhand",8,"Ranchi","GEN","",4
"Jharkhand",9,"Jamshedpur","GEN","",4
"Jharkhand",10,"Singhbhum","ST","",4
"Jharkhand",11,"Khunti","ST","",4
"Jharkhand",12,"Lohardaga","ST","",4
"Jharkhand",13,"Palamau","SC","",4
"Jharkhand",14,"Hazaribagh","GEN","",4
"Karnataka",1,"Chikkodi","GEN","",4
"Karnataka",2,"Belgaum","GEN","",4
"Karnataka",3,"Bagalkot","GEN","",4
"Karnataka",4,"Bijapur","SC","",4
"Karnataka",5,"Gulbarga","SC","",4
"Karnataka",6,"Raichur","ST","",4
"Karnataka",7,"Bidar","GEN","",4
"Karnataka",8,"Koppal","GEN","",4
"Karnataka",9,"Bellary","ST","",4
"Karnataka",10,"Haveri","GEN","",4
"Karnataka",11,"Dharwad","GEN","",4
"Karnataka",12,"Uttara Kannada","GEN","",4
"Karnataka",13,"Davanagere","GEN","",4
"Karnataka",14,"Shimoga","GEN","",4
"Karnataka",15,"Udupi Chikmagalur","GEN","",4
"Karnataka",16,"Hassan","GEN","",4
"Karnataka",17,"Dakshina Kannada","GEN","",4
"Karnataka",18,"Chitradurga","SC","",4
"Karnataka",19,"Tumkur","GEN","",4
"Karnataka",20,"Mandya","GEN","",4
"Karnataka",21,"Mysore","GEN","",4
"Karnataka",22,"Chamarajanagar","SC","",4
"Karnataka",23,"Bangalore Rural","GEN","",4
"Karnataka",24,"Bangalore North","GEN","",4
"Karnataka",25,"Bangalore central","GEN","",4
"Karnataka",26,"Bangalore South","GEN","",4
"Karnataka",27,"Chikkballapur","GEN","",4
"Karnataka",28,"Kolar","SC","",4
"Kerala",1,"Kasaragod","GEN","",4
"Kerala",2,"Kannur","GEN","",4
"Kerala",3,"Vadakara","GEN","",4
"Kerala",4,"Wayanad","GEN","",4
"Kerala",5,"Kozhikode","GEN","",4
"Kerala",6,"Malappuram","GEN","",4
"Kerala",7,"Ponnani","GEN","",4
"Kerala",8,"Palakkad","GEN","",4
"Kerala",9,"Alathur ","SC","",4
"Kerala",10,"Thrissur","GEN","",4
"Kerala",11,"Chalakudy","GEN","",4
"Kerala",12,"Ernakulam","GEN","",4
"Kerala",13,"Idukki","GEN","",4
"Kerala",14,"Kottayam","GEN","",4
"Kerala",15,"Alappuzha","GEN","",4
"Kerala",16,"Mavelikkara ","SC","",4
"Kerala",17,"Pathanamthitta","GEN","",4
"Kerala",18,"Kollam","GEN","",4
"Kerala",19,"Attingal","GEN","",4
"Kerala",20,"Thiruvananthapuram","GEN","",4
"Lakshadweep",1,"Lakshadweep","ST","",4
"Madhya_Pradesh",1,"MORENA","GEN","",4
"Madhya_Pradesh",2,"BHIND","SC","",4
"Madhya_Pradesh",3,"GWALIOR","GEN","",4
"Madhya_Pradesh",4,"GUNA","GEN","",4
"Madhya_Pradesh",5,"SAGAR","GEN","",4
"Madhya_Pradesh",6,"TIKAMGARH","SC","",4
"Madhya_Pradesh",7,"DAMOH","GEN","",4
"Madhya_Pradesh",8,"KHAJURAHO","GEN","",4
"Madhya_Pradesh",9,"SATNA","GEN","",4
"Madhya_Pradesh",10,"REWA","GEN","",4
"Madhya_Pradesh",11,"SIDHI","GEN","",4
"Madhya_Pradesh",12,"SHAHDOL","ST","",4
"Madhya_Pradesh",13,"JABALPUR","GEN","",4
"Madhya_Pradesh",14,"MANDLA","ST","",4
"Madhya_Pradesh",15,"BALAGHAT","GEN","",4
"Madhya_Pradesh",16,"CHHINDWARA","GEN","",4
"Madhya_Pradesh",17,"HOSHANGABAD","GEN","",4
"Madhya_Pradesh",18,"VIDISHA","GEN","",4
"Madhya_Pradesh",19,"BHOPAL","GEN","",4
"Madhya_Pradesh",20,"RAJGARH","GEN","",4
"Madhya_Pradesh",21,"DEWAS","SC","",4
"Madhya_Pradesh",22,"UJJAIN","SC","",4
"Madhya_Pradesh",23,"MANDSOUR","GEN","",4
"Madhya_Pradesh",24,"RATLAM","ST","",4
"Madhya_Pradesh",25,"DHAR","ST","",4
"Madhya_Pradesh",26,"INDORE","GEN","",4
"Madhya_Pradesh",27,"KHARGONE","ST","",4
"Madhya_Pradesh",28,"KHANDWA","GEN","",4
"Madhya_Pradesh",29,"BETUL","ST","",4
"Maharashtra",1,"Nandurbar ","ST","",4
"Maharashtra",2,"Dhule","GEN","",4
"Maharashtra",3,"Jalgaon","GEN","",4
"Maharashtra",4,"Raver","GEN","",4
"Maharashtra",5,"Buldhana","GEN","",4
"Maharashtra",6,"Akola","GEN","",4
"Maharashtra",7,"Amravati ","SC","",4
"Maharashtra",8,"Wardha","GEN","",4
"Maharashtra",9,"Ramtek ","SC","",4
"Maharashtra",10,"Nagpur ","GEN","",4
"Maharashtra",11,"Bhandara - gondiya","GEN","",4
"Maharashtra",12,"Gadchiroli-Chimur","ST","",4
"Maharashtra",13,"Chandrapur","GEN","",4
"Maharashtra",14,"Yavatmal-Washim","GEN","",4
"Maharashtra",15,"Hingoli ","GEN","",4
